IP:PORT, LOSS, DELAY
162.159.192.120:8886,0.00%,16 ms
188.114.98.68:8886,0.00%,173 ms
162.159.195.4:8886,30.00%,316 ms
188.114.98.37:8886,100.00%,1000 ms
188.114.98.206:7559,100.00%,1000 ms
188.114.99.231:7559,100.00%,1000 ms
162.159.193.243:7559,100.00%,1000 ms
162.159.204.140:7559,100.00%,1000 ms
188.114.96.83:7559,100.00%,1000 ms
162.159.192.58:8886,100.00%,1000 ms
162.159.193.211:8886,100.00%,1000 ms
162.159.204.245:8886,100.00%,1000 ms
162.159.195.204:7559,100.00%,1000 ms
162.159.193.17:7559,100.00%,1000 ms
188.114.99.31:8886,100.00%,1000 ms
162.159.193.94:8886,100.00%,1000 ms
162.159.204.211:7559,100.00%,1000 ms
162.159.195.201:7559,100.00%,1000 ms
188.114.98.37:7559,100.00%,1000 ms
162.159.204.236:7559,100.00%,1000 ms
162.159.192.61:7559,100.00%,1000 ms
162.159.192.250:7559,100.00%,1000 ms
162.159.193.243:8886,100.00%,1000 ms
162.159.195.4:7559,100.00%,1000 ms
162.159.204.140:8886,100.00%,1000 ms
162.159.195.134:8886,100.00%,1000 ms
162.159.193.17:8886,100.00%,1000 ms
188.114.99.225:8886,100.00%,1000 ms
188.114.99.225:7559,100.00%,1000 ms
162.159.193.237:8886,100.00%,1000 ms
188.114.96.72:7559,100.00%,1000 ms
162.159.204.210:7559,100.00%,1000 ms
188.114.99.84:8886,100.00%,1000 ms
188.114.98.68:7559,100.00%,1000 ms
162.159.195.121:8886,100.00%,1000 ms
162.159.204.236:8886,100.00%,1000 ms
162.159.192.120:7559,100.00%,1000 ms
188.114.98.29:7559,100.00%,1000 ms
188.114.99.45:8886,100.00%,1000 ms
188.114.99.159:7559,100.00%,1000 ms
162.159.204.102:8886,100.00%,1000 ms
162.159.192.58:7559,100.00%,1000 ms
162.159.193.52:7559,100.00%,1000 ms
188.114.99.98:7559,100.00%,1000 ms
188.114.99.251:8886,100.00%,1000 ms
162.159.193.94:7559,100.00%,1000 ms
162.159.193.66:8886,100.00%,1000 ms
